0	0	0
2	1	53
7	3	111
13	6	169
23	10	228
37	16	286
52	24	344
68	33	403
84	44	461
100	55	520
116	67	578
132	78	636
147	89	695
163	101	753
179	112	811
195	123	870
211	135	928
17	60	5
20	61	56
24	62	113
31	64	171
41	67	229
53	72	287
66	77	345
80	82	403
94	89	462
108	96	520
123	103	578
138	111	637
153	120	695
169	129	753
184	138	812
199	147	870
215	157	928
48	122	13
50	122	63
54	123	117
59	125	173
67	126	231
76	129	288
86	132	346
97	135	404
109	140	462
122	144	521
136	149	579
149	155	637
164	161	695
178	168	754
192	175	812
207	183	870
222	190	929
84	184	27
86	185	72
88	185	123
92	186	177
97	187	233
104	189	291
112	191	348
121	193	406
131	196	464
142	199	522
154	203	580
166	207	638
179	212	696
192	217	754
205	222	813
219	228	871
233	234	929
121	247	46
122	247	85
124	247	131
126	248	183
130	249	238
136	250	294
142	251	351
149	253	408
158	255	466
167	258	523
177	261	581
187	264	639
199	267	697
211	271	755
223	275	814
235	280	872
248	285	930
157	309	67
158	309	99
159	309	141
162	310	190
165	310	243
169	311	298
174	312	354
180	314	411
187	316	468
195	317	525
203	320	583
212	322	641
222	325	699
233	328	757
244	332	815
255	335	873
267	339	931
194	371	88
194	371	115
195	371	152
197	372	199
200	372	250
203	373	303
207	374	358
212	375	414
218	376	471
225	378	528
232	380	585
240	382	643
249	384	701
258	387	758
268	390	816
278	393	874
289	396	932
230	433	109
231	433	132
231	434	166
233	434	209
235	434	258
238	435	310
241	436	364
246	437	419
251	438	475
256	439	531
263	441	588
270	442	646
277	444	703
285	446	760
294	449	818
304	451	876
313	454	934
266	496	130
267	496	150
268	496	180
269	496	220
271	496	267
273	497	317
276	498	370
280	498	424
284	499	479
289	500	535
294	502	592
301	503	649
307	505	706
315	507	763
323	509	820
331	511	878
340	513	936
303	558	151
303	558	169
304	558	196
305	558	233
307	559	277
309	559	326
311	560	377
314	560	430
318	561	484
322	562	540
327	563	596
333	564	652
339	566	709
345	567	766
352	569	823
360	571	880
368	573	938
339	620	172
340	620	188
340	620	212
341	620	247
343	621	289
344	621	335
347	622	385
349	622	437
353	623	490
356	624	545
361	625	600
366	626	656
371	627	712
377	628	769
383	630	826
390	632	883
397	633	940
376	682	193
376	682	207
377	682	229
377	683	261
379	683	301
380	683	345
382	684	394
385	684	444
388	685	497
391	686	551
395	686	605
399	687	661
404	689	716
409	690	773
415	691	829
421	693	886
428	694	943
412	745	214
412	745	227
413	745	247
414	745	277
415	745	314
416	745	357
418	746	403
420	746	453
423	747	504
426	748	557
429	748	611
433	749	666
438	750	721
442	751	777
448	752	833
453	754	890
459	755	946
449	807	235
449	807	246
449	807	265
450	807	293
451	807	328
452	808	369
454	808	414
456	808	462
458	809	512
461	809	564
464	810	617
468	811	671
472	812	726
476	813	781
481	814	837
486	815	893
492	816	950
485	869	256
485	869	266
486	869	284
486	869	309
487	870	343
488	870	381
490	870	425
492	870	472
494	871	521
496	871	572
499	872	624
502	873	677
506	874	732
510	875	786
514	875	842
519	877	898
524	878	954
521	931	277
522	931	287
522	931	303
522	932	327
523	932	358
524	932	395
526	932	437
527	933	482
529	933	530
532	934	580
534	934	631
537	935	684
541	935	738
544	936	792
548	937	847
553	938	902
558	939	958
558	994	298
558	994	307
558	994	322
559	994	344
560	994	374
561	994	409
562	994	449
563	995	493
565	995	540
567	996	589
570	996	639
572	997	691
576	997	744
579	998	798
583	999	852
587	1000	907
591	1001	963
50	3	1
52	4	53
56	6	111
61	9	170
68	13	228
77	19	286
87	27	345
98	36	403
110	47	461
123	58	520
137	69	578
150	80	636
164	91	695
179	102	753
193	113	811
208	125	870
223	136	928
64	62	6
65	63	57
68	64	113
73	66	171
80	69	229
87	73	287
97	78	345
107	84	403
118	90	462
130	97	520
143	105	578
156	113	637
170	121	695
183	130	753
198	139	812
212	148	870
226	158	928
84	123	14
86	124	64
88	124	117
92	126	173
97	127	231
104	130	288
112	133	346
121	136	404
131	141	463
142	145	521
154	150	579
166	156	637
179	162	695
192	169	754
205	176	812
219	183	870
233	191	929
111	185	28
112	185	73
114	186	123
117	187	177
121	188	234
127	190	291
133	192	348
141	194	406
150	197	464
160	200	522
170	204	580
181	208	638
193	213	696
205	218	754
218	223	813
231	229	871
244	235	929
141	247	47
142	247	85
143	248	131
146	248	183
